label,mm_x,mm_y,row,col,xu,yu,image_path
P142_-11.420_-8.560,-11.42,-8.56,9,6,950.9960682280087,1137.9976607150165,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P142_-11.420_-8.560.png
P143_0.000_-8.560,0.0,-8.56,9,7,1023.1161601958239,1139.2618312143827,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P143_0.000_-8.560.png
P144_11.420_-8.560,11.42,-8.56,9,8,1094.5923257564805,1140.9377514745695,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P144_11.420_-8.560.png
P145_22.840_-8.560,22.84,-8.56,9,9,1166.6298402693217,1141.6221146663665,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P145_22.840_-8.560.png
P146_34.260_-8.560,34.26,-8.56,9,10,1236.8348593679577,1142.1354266061937,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P146_34.260_-8.560.png
P147_45.680_-8.560,45.68,-8.56,9,11,1305.7168805383815,1141.8681423107578,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P147_45.680_-8.560.png
P148_57.100_-8.560,57.1,-8.56,9,12,1370.0416882176476,1142.335287288944,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P148_57.100_-8.560.png
P149_68.520_-8.560,68.52,-8.56,9,13,1431.6761583027023,1141.2043133039658,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P149_68.520_-8.560.png
P150_79.940_-8.560,79.94,-8.56,9,14,1492.9232418792187,1139.3756467575472,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P150_79.940_-8.560.png
P151_-79.940_-12.840,-79.94,-12.84,10,0,562.7776987979745,1177.8702597593524,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P151_-79.940_-12.840.png
P152_-68.520_-12.840,-68.52,-12.84,10,1,618.229128338471,1179.169803786894,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P152_-68.520_-12.840.png
P153_-57.100_-12.840,-57.1,-12.84,10,2,680.2910544536034,1183.6330781114332,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P153_-57.100_-12.840.png
P154_-45.680_-12.840,-45.68,-12.84,10,3,744.178117501458,1185.7907831649802,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P154_-45.680_-12.840.png
P155_-34.260_-12.840,-34.26,-12.84,10,4,813.2408409537683,1189.053729479754,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P155_-34.260_-12.840.png
P156_-22.840_-12.840,-22.84,-12.84,10,5,880.8043487193387,1190.2378546048803,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P156_-22.840_-12.840.png
P157_-11.420_-12.840,-11.42,-12.84,10,6,950.1007677844639,1192.8104411507343,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P157_-11.420_-12.840.png
P158_0.000_-12.840,0.0,-12.84,10,7,1023.0772116135444,1194.923007027756,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P158_0.000_-12.840.png
P159_11.420_-12.840,11.42,-12.84,10,8,1095.2169089910217,1194.9374547602542,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P159_11.420_-12.840.png
P160_22.840_-12.840,22.84,-12.84,10,9,1165.154052266912,1196.7802115976194,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P160_22.840_-12.840.png
P161_34.260_-12.840,34.26,-12.84,10,10,1234.806323993408,1197.019650483363,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P161_34.260_-12.840.png
P162_45.680_-12.840,45.68,-12.84,10,11,1302.5161710898117,1197.0651230385033,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P162_45.680_-12.840.png
P163_57.100_-12.840,57.1,-12.84,10,12,1369.4327005587052,1195.6457448841559,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P163_57.100_-12.840.png
P164_68.520_-12.840,68.52,-12.84,10,13,1429.7681153118156,1194.4489290075699,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P164_68.520_-12.840.png
P165_79.940_-12.840,79.94,-12.84,10,14,1489.693706437731,1193.7959741146628,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P165_79.940_-12.840.png
P166_-79.940_-17.120,-79.94,-17.12,11,0,563.5596718336011,1228.2623088477667,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P166_-79.940_-17.120.png
P167_-68.520_-17.120,-68.52,-17.12,11,1,624.1588317399618,1234.2625525812618,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P167_-68.520_-17.120.png
P168_-57.100_-17.120,-57.1,-17.12,11,2,683.2470881932423,1237.1997935096244,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P168_-57.100_-17.120.png
P169_-45.680_-17.120,-45.68,-17.12,11,3,746.5677402966215,1240.6345224680679,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P169_-45.680_-17.120.png
P170_-34.260_-17.120,-34.26,-17.12,11,4,811.8274961403645,1243.6993028381671,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P170_-34.260_-17.120.png
P171_-22.840_-17.120,-22.84,-17.12,11,5,881.169613068087,1246.9721909397751,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P171_-22.840_-17.120.png
P172_-11.420_-17.120,-11.42,-17.12,11,6,950.202070914531,1246.6813087515964,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P172_-11.420_-17.120.png
P173_0.000_-17.120,0.0,-17.12,11,7,1021.7665311955585,1247.9516494095847,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P173_0.000_-17.120.png
P174_11.420_-17.120,11.42,-17.12,11,8,1089.7578800730878,1249.4136567260307,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P174_11.420_-17.120.png
P175_22.840_-17.120,22.84,-17.12,11,9,1162.3654684720868,1250.6313629582878,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P175_22.840_-17.120.png
P176_34.260_-17.120,34.26,-17.12,11,10,1229.8388422932394,1249.2244331646298,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P176_34.260_-17.120.png
